Id,ReportTime,Status,StatusDuration
1,2018-08-17 19:55:16.0790000,0,00:00:00
2,2018-08-20 14:47:33.1281480,1,00:00:00
3,2018-08-20 14:48:19.5765520,0,00:00:46
4,2018-08-20 14:48:20.9486420,1,00:00:01
5,2018-08-20 14:48:21.1488680,0,00:00:00
6,2018-08-20 16:51:34.4037280,1,02:03:13
7,2018-08-20 16:51:42.1214760,0,00:00:07
8,2018-08-20 16:56:23.8283020,1,00:04:41
9,2018-08-20 16:56:24.4923950,0,00:00:00
10,2018-08-20 16:56:24.7083880,1,00:00:00
11,2018-08-20 17:00:10.6721460,0,00:03:45
12,2018-08-20 17:00:21.3391070,1,00:00:10
13,2018-08-20 17:00:22.3851480,0,00:00:01
14,2018-08-20 17:00:22.5920400,1,00:00:00
15,2018-08-20 17:00:25.0020240,0,00:00:02
16,2018-08-20 17:00:25.5905550,1,00:00:00
17,2018-08-20 17:00:37.5981840,0,00:00:12
18,2018-08-20 17:00:37.9734470,1,00:00:00
19,2018-08-20 17:00:42.6835280,0,00:00:04
20,2018-08-20 17:00:53.2269980,1,00:00:10
21,2018-08-20 17:00:54.9046160,0,00:00:01
22,2018-08-20 17:03:52.2441680,1,00:02:57
23,2018-08-20 17:06:23.8343440,1,00:00:00
24,2018-08-20 17:09:39.4419000,0,00:03:15
25,2018-08-20 17:09:39.6617610,1,00:00:00
26,2018-08-20 17:10:20.2920340,0,00:00:40
27,2018-08-20 17:10:27.6364100,1,00:00:07
28,2018-08-20 17:10:33.8239560,0,00:00:06
29,2018-08-20 17:10:37.1741000,1,00:00:03
30,2018-08-20 17:10:42.0274740,0,00:00:04
31,2018-08-20 17:10:50.3254920,1,00:00:08
32,2018-08-20 17:10:56.8945810,0,00:00:06
33,2018-08-20 17:11:42.5186610,1,00:00:45
34,2018-08-20 17:11:50.8911210,0,00:00:08
35,2018-08-20 17:17:38.2598070,1,00:05:47
36,2018-08-20 17:20:43.8305520,0,00:03:05
37,2018-08-20 17:27:36.2438290,1,00:06:52
38,2018-08-20 17:27:51.5696220,0,00:00:15
39,2018-08-20 17:30:20.4608760,1,00:02:28
40,2018-08-20 17:30:57.7949910,0,00:00:37
41,2018-08-20 17:31:00.2352220,1,00:00:02
42,2018-08-20 17:31:57.5978240,0,00:00:57
43,2018-08-20 17:32:10.4950990,1,00:00:12
44,2018-08-20 17:32:44.2720540,0,00:00:33
45,2018-08-20 17:32:57.1915730,1,00:00:12
46,2018-08-20 17:33:07.2189510,0,00:00:10
47,2018-08-20 17:33:08.2458070,1,00:00:01
48,2018-08-20 17:33:14.3824210,0,00:00:06
49,2018-08-20 17:33:16.0033250,1,00:00:01
50,2018-08-20 17:33:21.7597650,0,00:00:05
51,2018-08-20 17:33:26.4252460,1,00:00:04
52,2018-08-20 17:33:52.8721140,0,00:00:26
53,2018-08-20 17:34:05.7019680,1,00:00:12
54,2018-08-20 17:34:35.6946020,0,00:00:29
55,2018-08-20 17:34:44.3099620,1,00:00:08
56,2018-08-20 17:34:54.4392760,0,00:00:10
57,2018-08-20 17:34:57.9584800,1,00:00:03
58,2018-08-20 17:35:26.6896930,0,00:00:28
59,2018-08-20 17:35:39.3922130,1,00:00:12
60,2018-08-20 17:35:49.2523310,0,00:00:09
61,2018-08-20 17:35:50.1449090,1,00:00:00
62,2018-08-20 17:35:52.9809870,0,00:00:02
63,2018-08-20 17:35:55.3804850,1,00:00:02
64,2018-08-20 17:37:29.0509460,0,00:01:33
65,2018-08-20 17:37:43.8865910,1,00:00:14
66,2018-08-20 17:37:51.7709370,0,00:00:07
67,2018-08-20 17:37:52.7409460,1,00:00:00
68,2018-08-20 17:38:18.4253430,0,00:00:25
69,2018-08-20 17:38:19.9379680,1,00:00:01
70,2018-08-20 17:38:20.6779340,0,00:00:00
71,2018-08-20 17:38:21.6120000,1,00:00:00
72,2018-08-20 17:38:32.2053290,0,00:00:10
73,2018-08-20 17:38:45.1596450,1,00:00:12
74,2018-08-20 17:38:47.6811880,0,00:00:02
75,2018-08-20 17:38:50.6411190,1,00:00:02
76,2018-08-20 17:42:43.1107560,0,00:03:52
77,2018-08-20 17:42:56.8538970,1,00:00:13
78,2018-08-20 17:45:24.2319540,0,00:02:27
79,2018-08-20 17:45:37.2086140,1,00:00:12
80,2018-08-20 17:45:50.9975990,0,00:00:13
81,2018-08-20 17:46:03.0193110,1,00:00:12
82,2018-08-20 17:49:39.9162280,0,00:03:36
83,2018-08-20 17:49:52.8046760,1,00:00:12
84,2018-08-20 17:50:33.0324980,0,00:00:40
85,2018-08-20 17:50:40.1643040,1,00:00:07
86,2018-08-20 17:51:04.6073350,0,00:00:24
87,2018-08-20 17:51:20.2386660,1,00:00:15
88,2018-08-20 17:51:20.9679520,0,00:00:00
89,2018-08-20 17:51:22.1968080,1,00:00:01
90,2018-08-20 17:51:27.2448640,0,00:00:05
91,2018-08-20 17:51:30.6879570,1,00:00:03
92,2018-08-20 17:53:01.0679850,0,00:01:30
93,2018-08-20 17:53:21.0572310,1,00:00:19
94,2018-08-20 17:55:14.8935680,0,00:01:53
95,2018-08-20 17:55:29.8026610,1,00:00:14
96,2018-08-20 17:55:51.1617790,0,00:00:21
97,2018-08-20 17:56:03.9028410,1,00:00:12
98,2018-08-20 17:59:16.8713170,0,00:03:12
99,2018-08-20 17:59:30.0360720,1,00:00:13
100,2018-08-20 17:59:37.4076420,0,00:00:07
101,2018-08-20 17:59:44.1451440,1,00:00:06
102,2018-08-20 17:59:50.1734340,0,00:00:06
103,2018-08-20 17:59:51.3004770,1,00:00:01
104,2018-08-20 18:00:49.1330900,0,00:00:57
105,2018-08-20 18:01:02.3970700,1,00:00:13
106,2018-08-20 18:01:20.4206750,0,00:00:18
107,2018-08-20 18:01:21.4492860,1,00:00:01
108,2018-08-20 18:01:22.1706730,0,00:00:00
109,2018-08-20 18:01:24.0366280,1,00:00:01
110,2018-08-20 18:01:31.6500110,0,00:00:07
111,2018-08-20 18:01:32.8025170,1,00:00:01
112,2018-08-20 18:01:33.8413840,0,00:00:01
113,2018-08-20 18:01:38.4004110,1,00:00:04
114,2018-08-20 18:04:04.7972470,0,00:02:26
115,2018-08-20 18:04:17.5846440,1,00:00:12
116,2018-08-20 18:07:22.6442130,0,00:03:05
117,2018-08-20 18:07:35.4172790,1,00:00:12
118,2018-08-20 18:07:43.5468100,0,00:00:08
119,2018-08-20 18:19:52.7433690,1,00:00:29
120,2018-08-20 18:20:05.6060010,0,00:00:12
121,2018-08-20 18:25:10.9633570,1,00:05:05
122,2018-08-20 18:25:10.9633570,1,00:03:13
123,2018-08-20 18:25:27.4475000,0,00:00:16
124,2018-08-20 18:25:27.4475000,0,00:00:16
125,2018-08-20 18:25:31.2532920,1,00:00:03
126,2018-08-20 18:25:31.2532920,1,00:00:03
127,2018-08-20 18:25:34.3994190,0,00:00:03
128,2018-08-20 18:25:34.3994190,0,00:00:03
129,2018-08-21 07:47:12.5126960,1,00:00:00
130,2018-08-21 07:48:20.6163720,0,00:01:08
131,2018-08-21 07:54:51.4694700,1,00:06:30
132,2018-08-21 07:55:04.6784870,0,00:00:13
133,2018-08-21 08:03:02.6158200,1,00:07:57
134,2018-08-21 08:03:15.9238800,0,00:00:13
135,2018-08-21 08:04:59.0676230,1,00:01:43
136,2018-08-21 08:09:34.4944360,0,00:04:35
137,2018-08-21 08:19:00.6323450,1,00:09:26
138,2018-08-21 08:21:46.7661640,0,00:02:46
139,2018-08-21 08:21:59.6491470,1,00:00:12
140,2018-08-21 08:24:18.0790120,0,00:02:18
141,2018-08-21 08:24:53.3345830,1,00:00:35
142,2018-08-21 08:29:21.6885340,0,00:04:28
143,2018-08-21 08:29:34.9216270,1,00:00:13
144,2018-08-21 08:32:29.6134280,0,00:02:54
145,2018-08-21 08:34:09.8517620,1,00:01:40
146,2018-08-21 08:36:54.7250030,0,00:02:44
147,2018-08-21 08:37:07.7637260,1,00:00:13
148,2018-08-21 08:41:01.4067130,0,00:03:53
149,2018-08-21 08:44:29.9440510,1,00:03:28
150,2018-08-21 08:47:01.1264610,0,00:02:31
151,2018-08-21 09:03:49.8401300,1,00:16:48
152,2018-08-21 09:09:05.8662390,0,00:05:16
153,2018-08-21 09:21:57.3621760,1,00:12:51
154,2018-08-21 09:24:51.4468830,0,00:02:54
155,2018-08-21 09:27:18.9891190,1,00:02:27
156,2018-08-21 09:31:15.0608490,0,00:03:56
157,2018-08-21 09:31:43.4691850,1,00:00:28
158,2018-08-21 09:34:50.6646120,0,00:03:07
159,2018-08-21 09:35:25.4918310,1,00:00:34
160,2018-08-21 09:38:12.7188890,0,00:02:47
161,2018-08-21 09:40:29.5076230,1,00:02:16
162,2018-08-21 09:46:43.0236690,0,00:06:13
163,2018-08-21 09:46:56.1586490,1,00:00:13
164,2018-08-21 09:46:57.4796400,0,00:00:01
165,2018-08-21 09:46:58.3093690,1,00:00:00
166,2018-08-21 09:47:16.3963580,0,00:00:18
167,2018-08-21 09:47:17.0580700,1,00:00:00
168,2018-08-21 09:47:27.3468380,0,00:00:10
169,2018-08-21 09:47:36.1184650,1,00:00:08
170,2018-08-21 09:47:37.0152920,0,00:00:00
171,2018-08-21 09:47:38.0411590,1,00:00:01
172,2018-08-21 09:47:39.6726060,0,00:00:01
173,2018-08-21 09:47:41.0107900,1,00:00:01
174,2018-08-21 09:47:42.9750060,0,00:00:01
175,2018-08-21 09:51:17.2480010,1,00:03:34
176,2018-08-21 09:53:55.8779550,0,00:02:38
177,2018-08-21 10:09:24.7232340,1,00:15:28
178,2018-08-21 10:12:12.7920090,0,00:02:48
179,2018-08-21 10:13:01.2942360,1,00:00:48
180,2018-08-21 10:15:18.0048100,0,00:02:16
181,2018-08-21 10:29:52.2522700,1,00:14:34
182,2018-08-21 10:34:23.3489140,0,00:04:31
183,2018-08-21 10:34:48.5494290,1,00:00:25
184,2018-08-21 10:37:28.2203680,0,00:02:39
185,2018-08-21 10:43:44.5011000,1,00:06:16
186,2018-08-21 10:48:12.3407960,0,00:04:27
187,2018-08-21 10:52:03.9569510,1,00:03:51
188,2018-08-21 10:54:18.3610680,0,00:02:14
189,2018-08-21 10:59:21.6779870,1,00:05:03
190,2018-08-21 11:01:55.3821580,0,00:02:33
191,2018-08-21 11:02:11.8371710,1,00:00:16
192,2018-08-21 11:02:15.5880700,0,00:00:03
193,2018-08-21 11:04:00.5227410,1,00:01:44
194,2018-08-21 11:08:42.3792580,0,00:04:41
195,2018-08-21 11:08:55.1040820,1,00:00:12
196,2018-08-21 11:11:51.0770430,0,00:02:55
197,2018-08-21 11:12:04.3458050,1,00:00:13
198,2018-08-21 12:14:39.4126880,1,00:00:00
199,2018-08-21 12:16:01.4977070,0,00:01:22
200,2018-08-21 12:16:15.1248640,1,00:00:13
201,2018-08-21 12:16:59.1591480,0,00:00:44
202,2018-08-21 12:31:06.3415470,1,00:14:07
203,2018-08-21 12:33:08.7926320,0,00:02:02
204,2018-08-21 12:37:14.9816250,1,00:04:06
205,2018-08-21 12:43:00.4576720,0,00:05:45
206,2018-08-21 12:55:58.6323170,1,00:12:58
207,2018-08-21 13:04:22.2111940,0,00:08:23
208,2018-08-21 13:04:50.2187490,1,00:00:28
209,2018-08-21 13:07:57.5663990,0,00:03:07
210,2018-08-21 13:08:24.9525710,1,00:00:27
211,2018-08-21 13:10:27.9392030,0,00:02:02
212,2018-08-21 13:13:29.6306050,1,00:03:01
213,2018-08-21 13:19:30.7972630,0,00:06:01
214,2018-08-21 13:34:59.9666200,1,00:15:29
215,2018-08-21 13:40:32.4116870,0,00:05:32
216,2018-08-21 13:40:59.4725000,1,00:00:27
217,2018-08-21 13:45:04.5020750,0,00:04:05
218,2018-08-21 13:45:17.6506870,1,00:00:13
219,2018-08-21 15:08:13.6686770,1,00:00:17
220,2018-08-21 15:08:26.3240730,0,00:00:12
221,2018-08-21 15:09:39.9206320,1,00:01:13
222,2018-08-21 15:12:07.5566760,0,00:02:27
223,2018-08-21 15:25:14.0207640,1,00:13:06
224,2018-08-21 15:29:01.5156700,0,00:03:47
225,2018-08-22 08:24:47.2815080,1,00:00:17
226,2018-08-22 08:25:01.6314180,0,00:00:14
227,2018-08-22 08:29:58.9488720,1,00:04:57
